,CCY,CONVICTION,SIGNAL,TYPE,Date
2017-02-17,TY1 COMDTY,1.0,SELL,HAMMER,This week
2017-02-17,KWN+1M Curncy,1.0,BUY,HAMMER,This week
2017-02-03,USDTHB Curncy,0.650015782828,SELL,ENGULF,2 week(s) ago
2017-01-27,EURGBP Curncy,0.715277777778,SELL,INSIDEBAR,3 week(s) ago
2017-01-27,MRN+1M Curncy,0.727272727273,SELL,INSIDEBAR,3 week(s) ago
2017-01-27,KWN+1M Curncy,1.0,BUY,HAMMER,3 week(s) ago
2017-01-20,GBPUSD Curncy,0.65133757347,BUY,ENGULF,4 week(s) ago
2017-01-20,AUDCAD Curncy,0.564468594455,BUY,ENGULF,4 week(s) ago
2017-01-13,EURGBP Curncy,0.715277777778,BUY,INSIDEBAR,5 week(s) ago
2017-01-13,USDTHB Curncy,0.625505050505,SELL,ENGULF,5 week(s) ago
2017-01-13,AUDCAD Curncy,0.564468594455,BUY,ENGULF,5 week(s) ago
2017-01-13,EURNZD Curncy,0.632491912849,SELL,ENGULF,5 week(s) ago
2017-01-13,GBPJPY Curncy,0.670093223412,SELL,ENGULF,5 week(s) ago
2017-01-13,KWN+1M Curncy,0.662564442298,SELL,ENGULF,5 week(s) ago
2017-01-06,EURNZD Curncy,1.0,SELL,HAMMER,6 week(s) ago
2017-01-06,USDCAD Curncy,0.618181818182,SELL,INSIDEBAR,6 week(s) ago
2017-01-06,USDSGD Curncy,0.708333333333,SELL,INSIDEBAR,6 week(s) ago
2016-12-23,USDCNH Curncy,1.0,SELL,HAMMER,8 week(s) ago
2016-12-23,GBPUSD Curncy,0.588887660327,SELL,ENGULF,8 week(s) ago
2016-12-16,KWN+1M Curncy,0.662155695612,BUY,ENGULF,9 week(s) ago
2016-12-16,USDSGD Curncy,0.569047619048,BUY,ENGULF,9 week(s) ago
2016-12-16,USDSGD Curncy,0.709325396825,BUY,INSIDEBAR,9 week(s) ago
2016-12-16,USDTHB Curncy,0.610025252525,BUY,ENGULF,9 week(s) ago
2016-12-16,MRN+1M Curncy,0.611111111111,BUY,ENGULF,9 week(s) ago
2016-12-09,KWN+1M Curncy,1.0,BUY,HAMMER,10 week(s) ago
2016-12-09,NH1 INDEX,0.577777777778,BUY,ENGULF,10 week(s) ago
2016-12-02,GBPUSD Curncy,0.63689471333,BUY,ENGULF,11 week(s) ago
2016-11-25,EURJPY Curncy,0.538181818182,BUY,ENGULF,12 week(s) ago
2016-11-25,GBPJPY Curncy,0.712676563418,BUY,ENGULF,12 week(s) ago
2016-11-18,EURAUD Curncy,0.833333333333,BUY,HAMMER,13 week(s) ago
2016-11-18,EURJPY Curncy,0.668162719633,BUY,ENGULF,13 week(s) ago
2016-11-18,AUDCAD Curncy,0.574670064914,SELL,ENGULF,13 week(s) ago
2016-11-18,USDJPY Curncy,0.545454545455,BUY,ENGULF,13 week(s) ago
2016-11-18,USDCNH Curncy,0.572439956946,BUY,ENGULF,13 week(s) ago
2016-11-11,GBPJPY Curncy,0.712676563418,BUY,ENGULF,14 week(s) ago
2016-11-11,GBPNZD Curncy,0.648751860884,BUY,ENGULF,14 week(s) ago
2016-11-11,TY1 COMDTY,0.75,SELL,ENGULF,14 week(s) ago
2016-11-11,USDCAD Curncy,0.541666666667,BUY,ENGULF,14 week(s) ago
2016-11-11,USDJPY Curncy,0.545454545455,BUY,ENGULF,14 week(s) ago
2016-11-11,KWN+1M Curncy,0.662564442298,BUY,ENGULF,14 week(s) ago
2016-11-11,GBPNZD Curncy,0.611111111111,BUY,INSIDEBAR,14 week(s) ago
2016-11-11,EURGBP Curncy,0.595068027211,SELL,ENGULF,14 week(s) ago
2016-11-04,USDSGD Curncy,0.709325396825,SELL,INSIDEBAR,15 week(s) ago
2016-11-04,GBPUSD Curncy,0.623776991359,BUY,ENGULF,15 week(s) ago
2016-10-21,CCN+1M Curncy,0.541666666667,BUY,ENGULF,17 week(s) ago
2016-10-21,USDCNH Curncy,0.574828638137,BUY,ENGULF,17 week(s) ago
2016-10-21,AUDCAD Curncy,0.556055806441,BUY,ENGULF,17 week(s) ago
2016-10-21,USDCAD Curncy,0.618181818182,BUY,INSIDEBAR,17 week(s) ago
2016-10-21,USDCAD Curncy,0.574494949495,BUY,ENGULF,17 week(s) ago
2016-10-14,KWN+1M Curncy,0.657131675514,BUY,ENGULF,18 week(s) ago
2016-10-14,USDCNH Curncy,0.57759649256,BUY,ENGULF,18 week(s) ago
2016-10-14,USDSGD Curncy,0.626542207792,BUY,ENGULF,18 week(s) ago
2016-10-14,MRN+1M Curncy,0.670105820106,BUY,ENGULF,18 week(s) ago
2016-10-07,GBPNZD Curncy,0.586805555556,SELL,INSIDEBAR,19 week(s) ago
2016-10-07,CCN+1M Curncy,0.541666666667,BUY,ENGULF,19 week(s) ago
2016-10-07,USDSGD Curncy,0.709325396825,BUY,INSIDEBAR,19 week(s) ago
2016-10-07,USDCAD Curncy,0.574494949495,BUY,ENGULF,19 week(s) ago
